Report Date,6-Jan-11,,Preparation Procedure:,,Doc no 24
,,Assay Method,,Doc 600,Doc 600,Doc 600,Doc 600,Doc 600,Doc 600,Doc 214,Doc 214,Doc 214,Doc 819
,,Sample,Replicates,Au,Au,Pt,Pt,Pd,Pd,Ni,S,Cu,-106um
,,UNITS,,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppm,ppm,Grams
Report#,Sequence,Lower Detection Limit,,       1,       1,       1,       1,       1,       1,       2,      50,       2,     0.1
u146728,1,TB0202,,-1,,10,,5,,88,150,34,
u146728,2,TB0203,,1,,20,,2,,84,100,32,
u146728,3,TB0204,,-1,,7,,2,,76,150,36,93.0
u146728,4,TB0205,,-1,,4,,1,,84,100,36,
u146728,5,TB0206,,154,,846,,940,,2060,10100,1380,
u146728,6,TB0207,,-1,,7,,2,,84,150,34,
u146728,7,TB0208,,1,,17,,3,,98,150,42,
u146728,8,TB0209,,1,,33,,3,,90,350,30,
u146728,9,TB0209,Rpt,2,,39,,3,,92,300,28,
u146728,10,TB0210,,29,28,371,362,164,163,792,650,234,
u146728,11,TB0211,,-1,,5,,2,,564,200,72,
u146728,12,TB0211,Rpt,-1,,5,,2,,568,200,72,
u146728,13,TB0212,,-1,,2,,4,,574,150,40,
u146728,14,TB0213,,-1,,3,,3,,510,150,32,
u146728,15,TB0214,,-1,,2,,1,,506,100,26,
u146728,16,TB0215,,-1,,2,,-1,,520,150,30,
u146728,17,TB0216,,1,,2,,-1,,490,100,32,
u146728,18,TB0216CRD,,-1,,3,,1,,486,100,32,
u146728,19,TB0217,,1,,1,,-1,,486,100,30,
u146728,20,TB0218,,2,,5,,2,,472,150,26,
u146728,21,TB0219,,4,,7,,6,,508,150,32,
u146728,22,TB0220,,50,50,40,36,47,47,688,500,140,
u146728,23,TB0221,,9,,3,,3,,542,600,106,
u146728,24,TB0222,,-1,,-1,,-1,,10,50,8,
u146728,25,TB0223,,5,,3,,3,,550,450,86,
u146728,26,TB0224,,163,,163,,144,,2670,7850,1420,90.2
u146728,27,TB0225,,428,584,272,249,254,260,4020,16700,2340,
u146728,28,TB0226,,75,,412,,538,,2360,8550,1310,
u146728,29,TB0227,,18,,7,,40,,210,2000,286,
u146728,30,TB0228,,-1,,-1,,-1,,26,900,150,
u146728,31,TB0228,Rpt,1,,-1,,-1,,28,950,142,
u146728,32,TB0229,,136,,117,,125,,1600,5400,1290,
u146728,33,TB0230,,4,,3,,92,,164,1050,70,
u146728,34,TB0230,Rpt,5,,4,,89,,160,1000,64,
u146728,35,TB0231,,112,,833,,807,,2460,3550,724,
u146728,36,TB0232,,49,,84,,47,,884,1150,264,
u146728,37,TB0233,,80,,207,,163,,972,1550,328,
u146728,38,TB0234,,33,,75,,46,,760,950,162,
u146728,39,TB0235,,34,,59,,23,,710,1150,158,
u146728,40,TB0236,,10,,11,,4,,588,500,82,
u146728,41,TB0236CRD,,12,,12,,4,,582,500,80,
u146728,42,TB0237,,122,127,686,681,559,535,1840,10800,1130,
u146728,43,TB0238,,108,,279,,230,,1140,2350,364,
u146728,44,TB0239,,319,147,200,190,201,194,842,3600,816,
u146728,45,TB0240,,60,,223,,184,,970,5350,662,
u146728,46,TB0241,,31,,37,,19,,690,2050,194,
u146728,47,TB0242,,31,,41,,36,,682,7400,218,
u146728,48,TB0243,,33,,34,,9,,668,850,190,
u146728,49,TB0244,,-1,,-1,,-1,,12,50,12,97.8
u146728,50,TB0245,,40,,57,,15,,722,900,220,
u146728,51,TB0246,,334,,1700,,1670,,3470,9400,1710,
u146728,52,TB0247,,31,,38,,11,,684,1200,178,
u146728,53,TB0248,,31,,27,,9,,638,800,150,
u146728,54,TB0249,,102,92,297,271,188,183,1080,1250,378,
u146728,55,TB0250,,79,,158,,90,,838,1300,250,
u146728,56,TB0251,,46,,71,,21,,672,1100,162,
u146728,57,TB0252,,32,,54,,16,,632,900,144,
u146728,58,TB0253,,27,,29,,11,,602,650,126,
u146728,59,TB0254,,36,,74,,22,,664,1100,180,
u146728,60,TB0255,,36,,69,,19,,582,1600,168,
u146728,61,TB0256,,18,15,3,3,1,1,188,1950,576,
u146728,62,TB0256CRD,,11,,2,,1,,188,1900,566,
u146728,63,TB0257,,21,,28,,8,,576,650,108,
u146728,64,TB0258,,33,,62,,20,,646,750,132,
u146728,65,TB0259,,43,,100,,35,,724,1000,190,
u146728,66,TB0260,,37,,69,,21,,622,700,140,
u146728,67,TB0261,,13,,33,,8,,486,500,72,
u146728,68,TB0261,Rpt,13,,34,,8,,486,500,72,
u146728,69,TB0262,,15,,29,,8,,528,700,86,
u146728,70,TB0263,,24,,61,,18,,568,750,134,
u146728,71,TB0264,,42,,116,,41,,646,1100,178,90.9
u146728,72,TB0264,Rpt,47,,120,,44,,654,1050,180,
u146728,73,TB0265,,44,,108,,37,,664,750,176,
u146728,74,TB0266,,205,,1260,,1660,,3360,9900,1750,
u146728,75,TB0267,,2,,3,,1,,18,50,10,
u146728,76,TB0268,,33,,101,,41,,624,1050,154,
u146728,77,TB0269,,43,,141,,51,,640,1250,148,
u146728,78,TB0270,,31,,109,,30,,470,1050,168,
u146728,79,TB0271,,167,,723,,632,,1400,4600,554,
u146728,80,TB0272,,74,,496,,472,,980,2450,456,
u146728,81,TB0273,,26,,94,,60,,578,750,130,
u146728,82,TB0274,,49,,190,,54,,658,1150,172,
u146728,83,TB0275,,26,,42,,16,,588,750,118,
u146728,84,TB0276,,43,,80,,27,,664,1000,158,
u146728,85,TB0276CRD,,38,,74,,24,,664,950,154,
u146728,86,TB0277,,23,,38,,10,,582,650,102,
u146728,87,TB0278,,19,,57,,17,,576,850,84,
u146728,88,TB0279,,31,,91,,30,,628,1050,132,
u146728,89,TB0280,,50,,121,,41,,756,1250,198,
u146728,90,TB0281,,26,,55,,18,,584,650,114,
u146728,91,TB0282,,15,,26,,5,,522,350,86,
u146728,92,TB0283,,11,,31,,11,,538,550,72,
u146728,93,TB0284,,26,,117,,41,,628,750,106,95.2
u146728,94,TB0285,,44,,136,,51,,648,1000,142,
u146728,95,TB0286,,133,184,451,459,496,456,2380,1450,1460,
u146728,96,TB0287,,44,,140,,48,,674,1050,166,
u146728,97,TB0288,,37,,119,,40,,628,1550,134,
u146728,98,TB0289,,-1,,-1,,-1,,8,50,10,
u146728,99,TB0290,,59,,107,,46,,580,1100,146,
u146728,100,TB0291,,61,,66,,19,,536,1350,574,
u146728,101,TB0292,,42,,152,,50,,708,1000,172,
u146728,102,TB0293,,68,,224,,86,,750,1350,214,
u146728,103,TB0294,,79,83,243,260,111,119,792,3100,250,
u146728,104,TB0294,Rpt,84,,308,,134,,812,3200,252,
u146728,105,TB0295,,51,,196,,84,,590,1950,144,
u146728,106,TB0296,,378,,1870,,1560,,1980,6100,938,
u146728,107,TB0296CRD,,422,,1700,,1480,,2000,6200,934,
u146728,108,TB0297,,365,,2800,,3220,,3400,8700,1480,
u146728,109,TB0298,,484,339,2280,1980,2480,2250,4190,11200,1970,
u146728,110,TB0298,Rpt,310,,2290,,2330,,4180,11200,2000,
u146728,111,TB0299,,235,,1580,,2150,,3800,9200,1820,
u146728,112,TB0300,,409,,1540,,2010,,4210,11300,2020,
u146728,113,TB0301,,180,,1330,,1670,,3750,10500,1710,
u146728,114,TB0302,,174,,828,,926,,2560,8900,1790,
u146728,115,TB0303,,84,89,519,463,515,522,1220,4400,652,
u146728,116,TB0304,,6,,71,,54,,216,900,160,96.0
u146728,117,TB0305,,30,,181,,202,,632,2150,346,
u146728,118,TB0306,,69,,405,,586,,2280,8650,1210,
u146728,119,TB0307,,57,,287,,399,,1370,4550,654,
u146728,120,TB0308,,33,,71,,444,,570,1600,472,
u146728,121,TB0309,,65,,325,,433,,1100,4000,582,
u146728,122,TB0310,,44,,231,,368,,1420,4450,650,
u146728,123,TB0311,,-1,,2,,3,,12,50,12,
u146728,124,TB0312,,14,,72,,93,,492,2350,346,
u146728,125,TB0313,,38,,98,,274,,918,1350,482,
u146728,126,TB0314,,16,,72,,116,,512,2650,344,
u146728,127,TB0315,,84,,699,,340,,846,4150,408,
u146728,128,TB0316,,282,,1110,,1130,,2820,13900,1220,
u146728,129,TB0316CRD,,284,,1160,,1100,,2870,14300,1240,
u146728,130,TB0317,,100,119,666,510,725,730,1600,6350,888,
u146728,131,TB0317,Rpt,104,,536,,728,,1570,6350,864,
u146728,132,TB0318,,59,,278,,438,,1390,9250,808,
u146728,133,TB0319,,21,,118,,130,,684,1300,426,
u146728,134,TB0320,,3,,10,,4,,116,250,86,
u146728,135,TB0320,Rpt,4,,10,,4,,116,250,86,
u146728,136,TB0321,,6,,12,,3,,302,2050,168,
u146728,137,TB0322,,265,,2280,,1010,,2100,8150,1140,
u146728,138,TB0323,,99,,746,,452,,1030,3900,730,
u146728,139,TB0324,,25,,39,,222,,1090,4000,326,91.9
u146728,140,TB0325,,21,,93,,114,,640,2700,362,
u146728,141,TB0326,,72,,346,,448,,2300,8650,1400,
u146728,142,TB0327,,8,,56,,40,,320,950,164,
u146728,143,TB0328,,21,,176,,103,,322,900,226,
u146728,144,TB0329,,118,109,2170,1510,647,640,1370,7450,1370,
u146728,145,TB0329,Rpt,163,,1720,,667,,1400,7600,1420,
u146728,146,TB0330,,159,,1000,,806,,1590,8000,988,
u146728,147,TB0331,,45,,123,,294,,982,8400,628,
u146728,148,TB0332,,135,,409,,954,,2230,10300,1380,
u146728,149,TB0333,,5,,2,,5,,12,50,16,
u146728,150,TB0334,,64,,314,,526,,1740,7950,866,
u146728,151,TB0335,,46,,335,,360,,1060,3450,654,
u146728,152,TB0336,,16,,92,,105,,564,2350,316,
u146728,153,TB0336CRD,,15,,106,,102,,562,2300,310,
u146728,154,TB0337,,24,,122,,139,,856,2950,282,
u146728,155,TB0338,,44,,327,,232,,1120,4600,498,
u146728,156,TB0339,,106,,324,,645,,1160,4900,518,
u146728,157,TB0340,,24,,149,,135,,794,3150,414,
u146728,158,TB0341,,45,,210,,290,,1070,4650,476,
u146728,159,TB0342,,24,,149,,171,,816,4250,378,
u146728,160,TB0343,,7,,31,,43,,298,1800,178,
u146728,161,TB0344,,2,,1,,1,,16,200,4,97.2
u146728,162,TB0345,,-1,,1,,-1,,12,250,4,
u146728,163,TB0346,,169,,941,,958,,2060,10300,1360,
u146728,164,TB0347,,55,,190,,552,,1320,6950,726,
u146728,165,TB0348,,130,,168,,375,,1250,8000,758,
u146728,166,TB0349,,48,,180,,521,,1260,9250,846,
u146728,167,TB0350,,15,,103,,164,,540,3750,188,
u146728,168,TB0350,Rpt,13,,106,,158,,560,3900,194,
u146728,169,TB0351,,30,,65,,81,,424,5150,930,
u146728,170,TB0352,,19,,122,,182,,612,3900,296,
u146728,171,TB0353,,39,,94,,252,,752,4800,430,
u146728,172,TB0354,,36,,304,,332,,960,6750,508,
u146728,173,TB0355,,1,,4,,3,,12,50,8,
u146728,174,TB0356,,81,,623,,542,,1350,16900,1580,
u146728,175,TB0356,Rpt,81,,622,,528,,1340,17200,1580,
u146728,176,TB0356CRD,,85,,687,,560,,1340,17200,1570,
u146728,177,TB0357,,42,49,12,9,32,33,798,19900,1070,
u146728,178,TB0358,,62,,179,,767,,2670,39300,990,
u146728,179,TB0359,,54,,431,,554,,1360,14900,728,
u146728,180,TB0360,,57,,1080,,406,,1420,7850,584,
u146728,181,TB0361,,105,,617,,499,,2080,7900,1330,
u146728,182,TB0362,,1390,572,595,490,1570,1450,2940,15200,6220,
u146728,183,TB0363,,131,,394,,316,,2600,8300,1200,
u146728,184,TB0364,,107,,340,,307,,2260,9100,1360,91.6
u146728,185,TB0365,,102,,296,,317,,1800,8150,1230,
u146728,186,TB0366,,326,364,1900,1720,1750,1620,3240,9200,1680,
u146728,187,TB0367,,48,,117,,168,,1330,7050,1000,
u146728,188,TB0368,,61,,290,,381,,1420,8250,926,
u146728,189,TB0369,,93,,358,,542,,1790,10500,1210,
u146728,190,TB0370,,141,,679,,905,,2610,16700,1770,
u146728,191,TB0371,,75,,222,,399,,1250,7650,884,
u146728,192,TB0372,,29,,92,,134,,536,4100,460,
u146728,193,TB0373,,77,,414,,340,,1370,6850,764,
u146728,194,TB0374,,64,,172,,335,,1860,9450,1320,
u146728,195,TB0375,,10,9,60,51,74,77,350,1350,156,
u146728,196,TB0375,Rpt,7,,53,,74,,358,1450,162,
u146728,197,TB0376,,8,,27,,50,,152,1050,70,
u146728,198,TB0376CRD,,6,,27,,53,,144,1050,68,
u146728,199,TB0377,,-1,,-1,,1,,4,50,10,
u146728,200,TB0378,,199,194,385,359,873,827,1980,11900,1460,
u146728,201,TB0379,,48,,106,,240,,1180,12400,814,
u146728,202,TB0380,,30,,106,,257,,662,4750,342,
u146728,203,TB0381,,46,,198,,487,,1220,9100,692,
u146728,204,TB0382,,37,,231,,290,,710,7200,550,
u146728,205,TB0383,,90,,468,,592,,1780,13400,832,
u146728,206,TB0384,,64,,235,,397,,1560,9650,936,91.8
u146728,207,TB0385,,61,,215,,390,,1830,11400,1130,
u146728,208,TB0386,,195,,1250,,1590,,3280,9800,1760,
u146728,209,TB0387,,61,,235,,422,,1530,11300,1070,
u146728,210,TB0388,,63,,222,,425,,1650,10600,1140,
u146728,211,TB0389,,74,,320,,545,,1540,9250,1330,
u146728,212,TB0390,,50,,192,,323,,1500,8900,1090,
u146728,213,TB0390,Rpt,51,,192,,328,,1500,8750,1050,
u146728,214,TB0391,,46,,288,,306,,1100,6300,864,
u146728,215,TB0392,,53,,75,,348,,1730,12600,1040,
u146728,216,TB0393,,76,,158,,510,,1940,15900,1360,
u146728,217,TB0394,,92,,313,,401,,2030,16100,1240,
u146728,218,TB0395,,190,174,334,235,844,837,2840,23200,1910,
u146728,219,TB0396,,111,,482,,522,,2400,15600,1670,
u146728,220,TB0396CRD,,128,,469,,509,,2420,15700,1700,
u146728,221,TB0396CRD,Rpt,116,,508,,523,,2430,15600,1700,
u146728,222,TB0397,,88,,270,,583,,2440,14700,1740,
u146728,223,TB0398,,60,,190,,390,,2480,16100,1410,
u146728,224,TB0399,,1,,2,,3,,22,50,22,
u146728,225,TB0400,,36,,83,,144,,290,2150,204,
u146728,226,TB0401,,33,37,147,136,268,279,766,3950,582,
u146728,227,TB0402,,3,,2,,2,,38,450,64,
u146728,228,TB0403,,45,,224,,308,,612,3800,470,
u146728,229,TB0404,,191,,323,,868,,1220,8150,1190,90.2
u146728,230,TB0405,,164,,404,,783,,904,5800,1090,
u146728,231,TB0406,,195,,542,,481,,2380,1400,1440,
u146728,232,TB0407,,182,,330,,709,,1470,8200,1020,
u146728,233,TB0408,,75,72,313,289,495,491,1920,11300,1310,
u146728,234,TB0408,Rpt,77,,307,,531,,1980,11600,1340,
u146728,235,TB0409,,52,,181,,240,,1670,8100,1100,
u146728,236,TB0410,,83,,409,,533,,2250,11800,1710,
u146728,237,TB0411,,88,,290,,585,,2270,11400,1680,
u146728,238,TB0412,,175,,625,,722,,2080,12600,1700,
u146728,239,TB0413,,92,,400,,613,,1810,10200,1550,
u146728,240,TB0414,,91,,487,,634,,1840,15500,1550,
u146728,241,TB0415,,118,,738,,682,,2120,12700,1860,
u146728,242,TB0416,,63,,210,,341,,2050,12900,1970,
u146728,243,TB0416CRD,,62,,233,,359,,2020,12700,1970,
u146728,244,TB0417,,112,,546,,837,,2500,15200,2030,
u146728,245,TB0418,,104,,319,,674,,2240,12400,1870,
u146728,246,TB0419,,101,,416,,720,,2910,16300,1980,
u146728,247,TB0420,,115,,643,,683,,2140,11900,1550,
u146728,248,TB0421,,1,,2,,3,,28,100,26,
u146728,249,TB0422,,129,,615,,792,,2370,14200,2070,
u146728,250,TB0422,Rpt,122,,615,,816,,2490,14800,2150,

,Doc 24,Sample Preparation
,,No sample preparation was required on these samples.

,Doc 600,Analytical Method:,Au  Pt  Pd
,,The samples have been analysed by Firing a 40 gm (approx) portion of the sample.
,,This is the classical fire assay process and will give total separation of Gold 
,,Platinum and Palladium in the sample.
,,Analytes have been determined by Inductively Coupled Plasma (ICP) Mass
,,Spectrometry.

,Doc 214,Analytical Method:,Ni  S  Cu
,,The sample(s) have been digested and refluxed with a mixture of Acids including
,,Hydrofluoric  Nitric  Hydrochloric and Perchloric Acids. This extended digest
,,approaches a Total digest for many elements however some refractory minerals are
,,not completely attacked.
,,Analytes have been determined by Inductively Coupled Plasma (ICP) Optical
,,Emission Spectrometry.

,Doc 819,Analytical Method:,-106um
,,% Passing is the percentage of material passing the seive using wet sieving
,,techniques.
,,Analyte has been determined Gravimetrically
